date,type,category,subcategory,amount,platform,merchant,item,method,status,note
2025-07-15 17:12:48,支出,餐饮,正餐,16.1,Alipay,憨哥农副产品,憨哥农副产品（莫愁路店）,零钱,,/
2025-07-15 17:16:50,支出,餐饮,咖啡奶茶,11.9,Alipay,luckin coffee,订单付款,零钱,,/
2025-07-15 18:51:00,支出,餐饮,正餐,80.85,Alipay,x***0,南京山石榴.贵州菜,中国银行储蓄卡(4612)&中国银行立减金,交易关闭,
2025-07-15 18:52:00,支出,餐饮,正餐,80.85,Alipay,x***0,退款-南京山石榴.贵州菜,中国银行储蓄卡(4612)&优惠,退款成功,
2025-07-15 18:53:00,支出,餐饮,正餐,162.0,Alipay,x***0,南京山石榴.贵州菜,中国银行储蓄卡(4612),交易成功,
2025-07-15 19:04:42,支出,餐饮,外卖,6.0,Alipay,美团,免押租借充电宝,零钱,,/
2025-07-15 20:05:30,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-15 20:25:00,支出,生活,,3.5,Alipay,24H便利购,自动售货机自选商品_消费时间：2025-07-15 20:25:51,中国银行储蓄卡(4612),交易成功,
2025-07-16 03:03:54,支出,生活,,14.9,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-16 15:39:04,支出,餐饮,外卖,22.9,Alipay,美团,小厨娘淮扬菜（秣周东路店）-美团App-25071611100400001307978461998545,零钱,,/
2025-07-16 22:22:13,支出,生活,,30.0,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-17 05:29:47,支出,会员,,12.41,Alipay,起点中文网,充值1241起点币,零钱,,/
2025-07-17 14:46:11,支出,餐饮,正餐,77.0,Alipay,肯德基,KFCWX10022520989984734064817,零钱,,/
2025-07-17 16:27:31,支出,生活,,12.5,Alipay,24H便利购,先购后付,中国银行储蓄卡(4612),,/
2025-07-18 11:05:59,支出,餐饮,外卖,24.5,Alipay,美团,成都人在南京·绝无预制·现炒川湘菜（江宁店）-美团App-25071811100400001308266818710545,零钱,,/
2025-07-18 11:50:21,支出,会员,,12.69,Alipay,起点中文网,充值1269起点币,零钱,,/
2025-07-18 15:17:18,支出,生活,,4.0,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-18 17:04:00,支出,消费,,3.5,Alipay,哈啰出行,哈啰单车骑行,中国银行储蓄卡(4612),交易成功,
2025-07-18 17:20:57,支出,餐饮,咖啡奶茶,11.9,Alipay,luckin coffee,订单付款,零钱,,/
2025-07-18 17:30:44,支出,餐饮,外卖,44.8,Alipay,美团,炸鸡草FCM给料放题自助-美团App-25071811100400001308336300667545,零钱,,/
2025-07-18 18:26:19,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-18 19:40:08,支出,餐饮,外卖,42.02,Alipay,美团,快仓臻选超市（江宁殷巷店）-美团App-25071811100400001308362518230545,零钱,,/
2025-07-19 13:16:03,支出,生活,,3.0,Alipay,漫品茶生,订单：20250719131552350415,零钱,,/
2025-07-19 14:41:53,支出,餐饮,外卖,19.9,Alipay,美团,小厨娘淮扬菜（秣周东路店）-美团App-25071911100400001308495199595545,零钱,,/
2025-07-19 17:36:28,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-19 17:37:00,支出,出行,打车,16.88,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-19 17:39:04,支出,餐饮,正餐,4.0,Alipay,口渴了水果鲜茶团结圩店丨高淳店,收款方备注:二维码收款,零钱,,/
2025-07-19 17:52:00,支出,出行,打车,13.66,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-19 20:02:55,支出,餐饮,正餐,4.0,Alipay,口渴了水果鲜茶团结圩店丨高淳店,收款方备注:二维码收款,零钱,,/
2025-07-19 20:11:00,支出,出行,打车,7.0,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-19 21:13:57,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-19 21:31:15,支出,会员,,12.57,Alipay,起点中文网,充值1257起点币,零钱,,/
2025-07-19 21:56:13,支出,餐饮,外卖,61.0,Alipay,幺妹川味·川人川菜（佛城西路店）,美团收银909700202442829609,零钱,,/
2025-07-20 00:32:00,支出,消费,,5.09,Alipay,友宝,智能货柜消费_三得利无糖乌龙茶原味茶饮料500ml_消费时间:2025-07-20 00:31:31,中国银行储蓄卡(4612),交易成功,
2025-07-20 11:57:16,支出,餐饮,外卖,30.3,Alipay,美团,老娘舅(458南京苏源大道九龙湖国际企业总部园店)-美团App-25072011100400001308663891933545,零钱,,/
2025-07-20 12:10:49,支出,充电,,18.0,Alipay,怪兽充电,免押租借充电宝,零钱,,/
2025-07-20 15:59:28,支出,餐饮,外卖,107.0,Alipay,美团,团购-美团App-25072011100400001308704876713545,零钱,,/
2025-07-20 16:29:00,支出,出行,打车,16.31,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612)&中国银行立减金,交易成功,
2025-07-20 16:31:13,支出,生活,,5.5,Alipay,24H便利购,先购后付,中国银行储蓄卡(4612),,/
2025-07-20 17:53:32,支出,餐饮,外卖,68.0,Alipay,美团,云卷云舒SPA·按摩·足疗·采耳-美团App-25072011100400001308728174890545,零钱,,/
2025-07-20 18:32:00,支出,出行,打车,13.16,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612)&中国银行立减金,交易成功,
2025-07-20 18:51:22,支出,餐饮,外卖,19.9,Alipay,美团,小厨娘淮扬菜（秣周东路店）-美团App-25072011100400001308742842017545,零钱,,/
2025-07-20 23:01:21,支出,生活,,4.0,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-21 02:04:05,支出,会员,,9.8,Alipay,起点中文网,充值980起点币,零钱,,/
2025-07-21 09:35:26,支出,餐饮,咖啡奶茶,10.9,Alipay,luckin coffee,订单付款,零钱,,/
2025-07-21 09:38:32,支出,餐饮,外卖,12.5,Alipay,美团,南京市博物馆-美团门票微信小程序-25072111100400001308816722678545,零钱,,/
2025-07-21 10:41:03,支出,消费,,24.93,Alipay,泸溪河,商品-商品-商品,零钱,,/
2025-07-21 11:19:37,支出,餐饮,外卖,64.0,Alipay,桥头大叔爆炒三嫩,美团收银909700202485049394,零钱,,/
2025-07-21 11:42:46,支出,出行,地铁,10.0,Alipay,江苏交通一卡通有限公司,充值,零钱,,/
2025-07-21 18:20:21,支出,消费,,510.0,Alipay,宋重阳,转账备注:微信转账,中国银行储蓄卡(4612),,/
2025-07-22 00:51:00,支出,生活,洗衣,3.0,Alipay,U净,U净洗烘,中国银行储蓄卡(4612),交易成功,
2025-07-22 00:57:33,支出,消费,,4.5,Alipay,天津厚雪甄选商贸有限公司,先购后付,零钱,,/
2025-07-22 01:11:59,支出,生活,,5.0,Alipay,轻购云,先购后付,零钱,,/
2025-07-22 19:31:46,支出,餐饮,正餐,44.82,Alipay,泸溪河,泸溪河(江苏)食品销售有限公司南京江宁百家湖金鹰店,零钱,,/
2025-07-22 22:51:07,支出,生活,,3.5,Alipay,东大九龙湖校区梅园711店,南京金鹰便利超市管理有限公司,零钱,,/
2025-07-23 06:05:00,支出,出行,打车,12.6,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-23 07:39:04,支出,生活,,14.2,Alipay,东部机场南京机场T2美宜佳,东部机场南京机场T2美宜佳,零钱,,/
2025-07-23 08:18:38,支出,会员,,13.0,Alipay,起点中文网,充值1300起点币,零钱,,/
2025-07-23 12:02:00,支出,出行,打车,12.49,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-23 14:47:31,支出,快递,,30.0,Alipay,顺丰速运,散单运费-顺丰速运,中国银行储蓄卡(4612),,/
2025-07-23 20:21:26,收入,消费,,5000.0,Alipay,郑衡,转账备注:微信转账,/,,/
2025-07-23 20:23:54,支出,购物,综合电商,4872.51,Alipay,京东,京东-订单编号319376567830,零钱,,/
2025-07-24 09:08:25,支出,消费,,10.0,Alipay,涛声依旧,收款方备注:二维码收款,零钱,,/
2025-07-24 11:11:49,支出,生活,,80.48,Alipay,条马批发部,条马批发部,零钱,,/
2025-07-24 13:58:11,支出,消费,,6.66,Alipay,小红书,/,零钱,,/
2025-07-25 09:08:00,支出,餐饮,正餐,31.58,Alipay,闪魔**店,闪魔适用vivox200Promini钢化膜全屏x200 Promini手机膜x200Prominin的保护贴膜超高,中国银行储蓄卡(4612),支付成功,
2025-07-25 09:13:29,支出,消费,,20.0,Alipay,重庆市财政局,聚合微信公众号支付,零钱,,/
2025-07-26 14:10:36,支出,快递,,14.0,Alipay,顺丰速运,散单运费-顺丰速运,零钱,,/
2025-07-26 14:42:49,支出,餐饮,咖啡奶茶,10.9,Alipay,luckin coffee,订单付款,中国银行储蓄卡(4612),,/
2025-07-27 09:37:24,支出,消费,,2.28,Alipay,钱大妈,青泡椒 1件,零钱,,/
2025-07-27 13:40:59,支出,出行,地铁,10.0,Alipay,通卡安卓NFC交通卡业务,充值,中国银行储蓄卡(4612),,/
2025-07-27 14:15:55,支出,餐饮,咖啡奶茶,10.9,Alipay,luckin coffee,订单付款,中国银行储蓄卡(4612),,/
2025-07-27 19:17:11,支出,餐饮,正餐,6.0,Alipay,小吃,收款方备注:二维码收款,中国银行储蓄卡(4612),,/
2025-07-27 23:17:36,支出,生活,,6.0,Alipay,个体户优客家左岸阳光店,优客家便利店(左岸阳光店),中国银行储蓄卡(4612),,/
2025-07-28 13:49:23,支出,消费,,15.0,Alipay,重庆市财政局,非税项目 郑*文 缴款码50000025000814263206,中国银行储蓄卡(4612),,/
2025-07-28 14:19:03,支出,餐饮,咖啡奶茶,9.9,Alipay,luckin coffee,订单付款,中国银行储蓄卡(4612),,/
2025-07-28 17:19:00,支出,出行,打车,32.8,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-29 17:36:10,支出,餐饮,咖啡奶茶,10.9,Alipay,luckin coffee,订单付款,中国银行储蓄卡(4612),,/
2025-07-30 10:54:00,支出,出行,打车,33.71,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-30 11:28:00,支出,出行,打车,20.75,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-30 11:56:50,支出,餐饮,正餐,200.0,Alipay,渝北区捌幺陆餐饮店,移动支付,中国银行储蓄卡(4612),,/
2025-07-30 12:38:36,收入,消费,,200.0,Alipay,汤丽萍,/,/,,/
2025-07-30 12:46:20,支出,餐饮,咖啡奶茶,9.9,Alipay,luckin coffee,订单付款,中国银行储蓄卡(4612),,已优惠¥1.00
2025-07-30 12:50:36,支出,消费,,17.9,Alipay,南岸分公司,南岸分公司-消费,零钱,,/
2025-07-30 14:01:00,支出,出行,打车,10.83,Alipay,高德打车,高德打车订单,中国银行储蓄卡(4612),交易成功,
2025-07-30 17:17:13,支出,餐饮,正餐,13.0,Alipay,渝北区恺恺餐饮店（个体工商户）,渝北区恺恺餐饮店（个体工商户）,零钱,,/
2025-07-30 19:19:06,支出,餐饮,正餐,66.7,Alipay,唯壹卤味,微信被扫消费,零钱,,/
2025-07-30 19:51:24,支出,会员,,9.87,Alipay,起点中文网,充值987起点币,中国银行储蓄卡(4612),,/
2025-07-30 20:35:29,支出,消费,,168.0,Alipay,发给dby,/,中国银行储蓄卡(4612),,/
2025-07-31 14:13:48,支出,消费,,123.0,Alipay,是我心动呀,收款方备注:二维码收款,中国银行储蓄卡(4612),,/
